SideEffect,Disease,Pvalue
pseudotumor cerebri,Respiratory Tract Diseases,0.003476819
deep thrombophlebitis,Autistic Disorder,0.003476819
deep thrombophlebitis,Cytomegalovirus Retinitis,0.003476819
deep thrombophlebitis,Lymphoma,0.003476819
stillbirth,"Rhinitis, Allergic, Perennial",0.003476819
sinus tachycardia,Ovarian Neoplasms,0.003484121
bursitis,Phobic Disorders,0.003496177
urinary urgency,Phobic Disorders,0.003496177
gastrointestinal hemorrhage,"Arthritis, Juvenile Rheumatoid",0.003504718
gastrointestinal hemorrhage,Obsessive-Compulsive Disorder,0.003504718
dry skin,Zollinger-Ellison Syndrome,0.003504718
cystitis,Autistic Disorder,0.003507427
cystitis,Menorrhagia,0.003507427
ecchymosis,Adrenal Insufficiency,0.003507427
ecchymosis,Bursitis,0.003507427
ecchymosis,Hypersensitivity,0.003507427
esophagitis,Adrenal Insufficiency,0.003507427
esophagitis,Cytomegalovirus Retinitis,0.003507427
esophagitis,Hypersensitivity,0.003507427
vaginitis,Autistic Disorder,0.003507427
vaginitis,Esophagitis,0.003507427
vaginitis,Tonsillitis,0.003507427
eye pain,Autistic Disorder,0.003507427
eye pain,Cytomegalovirus Retinitis,0.003507427
thrombophlebitis,Staphylococcal Infections,0.003509826
thrombophlebitis,Streptococcal Infections,0.003509826
pancytopenia,Sinusitis,0.003513603
hemorrhage,Hypertension,0.003519598
flushing,"Tachycardia, Ventricular",0.00352092
sneezing,"Rhinitis, Allergic, Perennial",0.00352159
missed abortion,Hypoventilation,0.003527337
acquired immunodeficiency syndrome,Leishmaniasis,0.003527337
acquired immunodeficiency syndrome,Paracoccidioidomycosis,0.003527337
delirium tremens,Gastrointestinal Neoplasms,0.003527337
amyloidosis,Osteolysis,0.003527337
autoimmune hemolytic anemia,Enteritis,0.003527337
autoimmune hemolytic anemia,Proctocolitis,0.003527337
bruit,Campylobacter Infections,0.003527337
bulimia,Eating Disorders,0.003527337
bulimia,Phobic Disorders,0.003527337
cervicitis,"Fatigue Syndrome, Chronic",0.003527337
sclerosing cholangitis,Liver Neoplasms,0.003527337
sclerosing cholangitis,Mesothelioma,0.003527337
chorioretinitis,Elephantiasis,0.003527337
chorioretinitis,Mansonelliasis,0.003527337
chorioretinitis,Onchocerciasis,0.003527337
cleft lip,Endometrial Hyperplasia,0.003527337
cleft lip,Uterine Hemorrhage,0.003527337
cluster headache,"Epilepsy, Absence",0.003527337
cluster headache,"Epilepsy, Complex Partial",0.003527337
febrile seizures,Condylomata Acuminata,0.003527337
febrile seizures,"Respiratory Distress Syndrome, Newborn",0.003527337
depressive reaction,Eating Disorders,0.003527337
depressive reaction,Phobic Disorders,0.003527337
Trisomy 21,"Carcinoma, Renal Cell",0.003527337
Trisomy 21,Endometrial Hyperplasia,0.003527337
Trisomy 21,Uterine Hemorrhage,0.003527337
eating disorder,"Carcinoma, Renal Cell",0.003527337
eating disorder,Endometrial Hyperplasia,0.003527337
eating disorder,Uterine Hemorrhage,0.003527337
eclampsia,Acromegaly,0.003527337
eclampsia,Infertility,0.003527337
endometritis,Meningeal Neoplasms,0.003527337
endometritis,"Pregnancy, Ectopic",0.003527337
episcleritis,Osteolysis,0.003527337
esophageal perforation,Adenomatous Polyposis Coli,0.003527337
esophageal varices,Primary Myelofibrosis,0.003527337
ectopic beats,Kidney Diseases,0.003527337
fibrosarcomas,"Epilepsy, Absence",0.003527337
fibrosarcomas,"Epilepsy, Complex Partial",0.003527337
foot pain,Dysentery,0.003527337
foot pain,Typhoid Fever,0.003527337
glioma,Astrocytoma,0.003527337
Cardiac abnormality,Hypoventilation,0.003527337
Ventricular Septal Defect,"Infertility, Female",0.003527337
Hepatitis C,"Adenovirus Infections, Human",0.003527337
Hepatitis C,"Hepatitis C, Chronic",0.003527337
Hepatitis C,Respiratory Syncytial Virus Infections,0.003527337
Hepatitis C,West Nile Fever,0.003527337
hepatorenal syndrome,Keratosis,0.003527337
diaphragmatic hernia,"Carcinoma, Renal Cell",0.003527337
diaphragmatic hernia,Endometrial Hyperplasia,0.003527337
diaphragmatic hernia,Uterine Hemorrhage,0.003527337
histoplasmosis,Trophoblastic Neoplasms,0.003527337
hydatidiform mole,"Carcinoma, Renal Cell",0.003527337
hydatidiform mole,Endometrial Hyperplasia,0.003527337
hydatidiform mole,Uterine Hemorrhage,0.003527337
hyperphagia,Reye Syndrome,0.003527337
hyperphagia,Torticollis,0.003527337
hyphaema,Nutritional and Metabolic Diseases,0.003527337
hyphaema,"Tachycardia, Paroxysmal",0.003527337
hypopituitarism,"Carcinoma, Renal Cell",0.003527337
hypopituitarism,Endometrial Hyperplasia,0.003527337
hypopituitarism,Uterine Hemorrhage,0.003527337
Neonatal jaundice,Hypoventilation,0.003527337
chronic renal failure,Dysentery,0.003527337
chronic renal failure,Typhoid Fever,0.003527337
lymphocytic leukemia,"Anemia, Hemolytic, Autoimmune",0.003527337
lymphocytic leukemia,Burkitt Lymphoma,0.003527337
lymphocytic leukemia,Hemosiderosis,0.003527337
lymphocytic leukemia,Liver Neoplasms,0.003527337
lymphocytic leukemia,Lupus Nephritis,0.003527337
lymphocytic leukemia,Mesothelioma,0.003527337
lymphocytic leukemia,"Red-Cell Aplasia, Pure",0.003527337
lymphocytic leukemia,Retinoblastoma,0.003527337
lymphocytic leukemia,Wegener Granulomatosis,0.003527337
acute lymphoblastic leukemia,Hypercalcemia,0.003527337
chronic myeloid leukemia,Thrombocytopenia,0.003527337
lichen,"Scleroderma, Systemic",0.003527337
Hepatic neoplasms,"Puberty, Delayed",0.003527337
Lyme Disease,Rheumatic Fever,0.003527337
Lyme Disease,Spirochaetales Infections,0.003527337
macroglossia,Leishmaniasis,0.003527337
macroglossia,Paracoccidioidomycosis,0.003527337
meningiomas,"Carcinoma, Renal Cell",0.003527337
meningiomas,Endometrial Hyperplasia,0.003527337
meningiomas,Uterine Hemorrhage,0.003527337
early menopause,Hypoventilation,0.003527337
early menopause,Liver Neoplasms,0.003527337
early menopause,Mesothelioma,0.003527337
mixed connective tissue disease,"Arthritis, Gouty",0.003527337
multiple myeloma,"Fatigue Syndrome, Chronic",0.003527337
transverse myelitis,"Endocarditis, Subacute Bacterial",0.003527337
myoglobinuria,Rheumatic Fever,0.003527337
myoglobinuria,Spirochaetales Infections,0.003527337
myxedema,"Anemia, Hemolytic, Autoimmune",0.003527337
myxedema,Burkitt Lymphoma,0.003527337
myxedema,Conduct Disorder,0.003527337
myxedema,Hemosiderosis,0.003527337
myxedema,Lupus Nephritis,0.003527337
myxedema,"Red-Cell Aplasia, Pure",0.003527337
myxedema,Retinoblastoma,0.003527337
myxedema,Wegener Granulomatosis,0.003527337
neuromyopathy,"Lupus Erythematosus, Discoid",0.003527337
neuromyopathy,"Malaria, Avian",0.003527337
neuromyopathy,Pemphigus,0.003527337
neuromyopathy,Photosensitivity Disorders,0.003527337
neuromyopathy,Porphyria Cutanea Tarda,0.003527337
allergy to penicillin,Liver Neoplasms,0.003527337
allergy to penicillin,Mesothelioma,0.003527337
constrictive pericarditis,Acromegaly,0.003527337
constrictive pericarditis,Infertility,0.003527337
periodontal disease,Osteolysis,0.003527337
periodontal disease,Pleural Effusion,0.003527337
periostitis,Rheumatic Fever,0.003527337
periostitis,Spirochaetales Infections,0.003527337
lobar pneumonia,Amyotrophic Lateral Sclerosis,0.003527337
polycystic ovary disease,"Epilepsy, Absence",0.003527337
polycystic ovary disease,"Epilepsy, Complex Partial",0.003527337
polycythemia vera,"Fatigue Syndrome, Chronic",0.003527337
toxemia of pregnancy,Hyperprolactinemia,0.003527337
toxemia of pregnancy,Neuroleptic Malignant Syndrome,0.003527337
ectopic pregnancy,Hypoventilation,0.003527337
ectopic pregnancy,Meningeal Neoplasms,0.003527337
ectopic pregnancy,"Pregnancy, Ectopic",0.003527337
prolactinoma,Hyperprolactinemia,0.003527337
prolactinoma,Neuroleptic Malignant Syndrome,0.003527337
alveolar proteinosis,Gastrointestinal Neoplasms,0.003527337
Raynauds,Diarrhea,0.003527337
Raynauds,Hot Flashes,0.003527337
retrolental fibroplasia,"Arthritis, Gouty",0.003527337
rheumatic fever,Actinomycosis,0.003527337
rheumatic fever,Listeriosis,0.003527337
sarcoidosis,"Adenovirus Infections, Human",0.003527337
sarcoidosis,"Hepatitis C, Chronic",0.003527337
sarcoidosis,Respiratory Syncytial Virus Infections,0.003527337
sarcoidosis,West Nile Fever,0.003527337
Kaposi Sarcoma,Gastrointestinal Neoplasms,0.003527337
splenic infarction,Hypoventilation,0.003527337
splenic infarction,"Leprosy, Borderline",0.003527337
splenic infarction,Pyoderma Gangrenosum,0.003527337
sporotrichosis,Leishmaniasis,0.003527337
sporotrichosis,Paracoccidioidomycosis,0.003527337
dysphemia,"Carcinoma, Renal Cell",0.003527337
dysphemia,Endometrial Hyperplasia,0.003527337
dysphemia,Uterine Hemorrhage,0.003527337
junctional tachycardia,Overdose,0.003527337
junctional tachycardia,Sinoatrial Block,0.003527337
junctional tachycardia,Uveitis,0.003527337
Essential Thrombocythemia,Thrombocytopenia,0.003527337
thyroid nodules,"Fatigue Syndrome, Chronic",0.003527337
thyrotoxicosis,Myxedema,0.003527337
thyrotoxicosis,"Thyroiditis, Autoimmune",0.003527337
thyrotoxicosis,Thyrotoxicosis,0.003527337
toxoplasmosis,Liver Neoplasms,0.003527337
toxoplasmosis,Mesothelioma,0.003527337
trichomoniasis,"Vaginosis, Bacterial",0.003527337
trichomonal vaginitis,"Vaginosis, Bacterial",0.003527337
urogenital anomaly,Hyperprolactinemia,0.003527337
vitreous hemorrhage,Blast Crisis,0.003527337
vitreous hemorrhage,"Leukemia, Myeloid, Accelerated Phase",0.003527337
vulvitis,"Vaginosis, Bacterial",0.003527337
acute febrile neutrophilic dermatosis,Blast Crisis,0.003527337
acute febrile neutrophilic dermatosis,"Leukemia, Myeloid, Accelerated Phase",0.003527337
essential hypertension,Pleural Effusion,0.003527337
pyogenic granuloma,Acanthamoeba Keratitis,0.003527337
pyogenic granuloma,"Dermatitis, Seborrheic",0.003527337
polymyositis,Food Hypersensitivity,0.003527337
polymyositis,Inflammatory Bowel Diseases,0.003527337
polymyositis,Mastocytosis,0.003527337
Hypogammaglobulinemia,Trophoblastic Neoplasms,0.003527337
benign tumors,Hot Flashes,0.003527337
food intolerance,Colorectal Neoplasms,0.003527337
orthostasis,Cushing Syndrome,0.003527337
orthostasis,"Neoplasms, Hormone-Dependent",0.003527337
hypermagnesemia,Liver Neoplasms,0.003527337
hypermagnesemia,Mesothelioma,0.003527337
gastric stasis,Dyspnea,0.003527337
congenital heart disease,"Adenovirus Infections, Human",0.003527337
congenital heart disease,"Hepatitis C, Chronic",0.003527337
congenital heart disease,"Infertility, Female",0.003527337
congenital heart disease,Respiratory Syncytial Virus Infections,0.003527337
congenital heart disease,West Nile Fever,0.003527337
acute pulmonary edema,Soft Tissue Neoplasms,0.003527337
vaginal dysplasia,"Carcinoma, Renal Cell",0.003527337
vaginal dysplasia,Endometrial Hyperplasia,0.003527337
vaginal dysplasia,Uterine Hemorrhage,0.003527337
calcaneal spur,Colorectal Neoplasms,0.003527337
malnutrition,Colorectal Neoplasms,0.003527337
fibroadenoma of breast,"Carcinoma, Renal Cell",0.003527337
fibroadenoma of breast,Endometrial Hyperplasia,0.003527337
fibroadenoma of breast,Uterine Hemorrhage,0.003527337
perleche,Phobic Disorders,0.003527337
scalp seborrhea,Acanthamoeba Keratitis,0.003527337
scalp seborrhea,"Dermatitis, Seborrheic",0.003527337
cheilosis,"Leprosy, Borderline",0.003527337
cheilosis,Primary Myelofibrosis,0.003527337
cheilosis,Pyoderma Gangrenosum,0.003527337
oral pain,Extravasation of Diagnostic and Therapeutic Materials,0.003527337
oral pain,Necrosis,0.003527337
wrist pain,Campylobacter Infections,0.003527337
secondary amenorrhea,"Epilepsy, Absence",0.003527337
secondary amenorrhea,"Epilepsy, Complex Partial",0.003527337
Oily Skin,Actinomycetales Infections,0.003527337
pelvic inflammatory disease,Meningeal Neoplasms,0.003527337
pelvic inflammatory disease,Mental Retardation,0.003527337
pelvic inflammatory disease,"Pregnancy, Ectopic",0.003527337
lung neoplasm malignant,Amyotrophic Lateral Sclerosis,0.003527337
atresia,"Carcinoma, Renal Cell",0.003527337
atresia,Endometrial Hyperplasia,0.003527337
atresia,Uterine Hemorrhage,0.003527337
xerosis,Conduct Disorder,0.003527337
mammogram abnormal,"Menopause, Premature",0.003527337
mammogram abnormal,Primary Ovarian Insufficiency,0.003527337
chronic urinary tract infections,Actinomycosis,0.003527337
chronic urinary tract infections,Listeriosis,0.003527337
gangrenous cholecystitis,Hypercalcemia,0.003527337
global amnesia,"Impotence, Vasculogenic",0.003527337
night cramps,Campylobacter Infections,0.003527337
recurrent urinary tract infections,Myasthenia Gravis,0.003527337
recurrent urinary tract infections,"Sarcoma, Ewings",0.003527337
recurrent urinary tract infections,Waldenstrom Macroglobulinemia,0.003527337
vulval abscess,"Carcinoma, Renal Cell",0.003527337
vulval abscess,Endometrial Hyperplasia,0.003527337
vulval abscess,Uterine Hemorrhage,0.003527337
artery occlusion,Amyotrophic Lateral Sclerosis,0.003527337
breast malformation,Hot Flashes,0.003527337
ulcerative proctitis,Gastrointestinal Neoplasms,0.003527337
Romberg test,Phobic Disorders,0.003527337
swollen scrotum,Phobic Disorders,0.003527337
pregnancy induced hypertension,Hyperprolactinemia,0.003527337
pregnancy induced hypertension,Neuroleptic Malignant Syndrome,0.003527337
chest mass,Colorectal Neoplasms,0.003527337
psychomotor retardation,Conduct Disorder,0.003527337
psychomotor retardation,Sleep Disorders,0.003527337
nodal tachycardia,Delirium,0.003527337
nodal tachycardia,Substance-Related Disorders,0.003527337
Smear cervix abnormal,"Carcinoma, Renal Cell",0.003527337
Smear cervix abnormal,Endometrial Hyperplasia,0.003527337
Smear cervix abnormal,Uterine Hemorrhage,0.003527337
toxic shock syndrome,Hot Flashes,0.003527337
hypospadias,"Carcinoma, Renal Cell",0.003527337
hypospadias,Endometrial Hyperplasia,0.003527337
hypospadias,Uterine Hemorrhage,0.003527337
Pneumocystis carinii infection,Leishmaniasis,0.003527337
Pneumocystis carinii infection,Paracoccidioidomycosis,0.003527337
abnormal tongue,Colorectal Neoplasms,0.003527337
mental deficiency,Corneal Ulcer,0.003527337
mental deficiency,Epididymitis,0.003527337
mental deficiency,Otitis Externa,0.003527337
ganglion,Neurologic Manifestations,0.003527337
ganglion,"Respiratory Distress Syndrome, Adult",0.003527337
kidney carcinoma,Hot Flashes,0.003527337
infestation,Cysticercosis,0.003527337
infestation,"Intestinal Diseases, Parasitic",0.003527337
infestation,Schistosomiasis,0.003527337
thrombophlebitis superficial,"Vaginosis, Bacterial",0.003527337
melena,Alzheimer Disease,0.003528438
hepatic failure,Cystitis,0.003528438
vertigo,Edema,0.003535143
hepatic encephalopathy,Duodenal Ulcer,0.003536442
AML,"Lymphoma, Non-Hodgkin",0.003536442
optic atrophy,"Lymphoma, Non-Hodgkin",0.003536442
prostatitis,Obsessive-Compulsive Disorder,0.003536442
somnambulism,Obsessive-Compulsive Disorder,0.003536442
abdominal pain,Pain,0.003541702
pulmonary embolism,Obsessive-Compulsive Disorder,0.003542222
mouth ulceration,Neuroblastoma,0.003542222
mouth ulceration,Obsessive-Compulsive Disorder,0.003542222
menorrhagia,Schizophrenia,0.003546002
metrorrhagia,Panic Disorder,0.003550207
ulcerative stomatitis,Panic Disorder,0.003550207
moniliasis,Hypertension,0.003566746
nervousness,Bronchitis,0.003567604
nervousness,Diabetic Nephropathies,0.003567604
nervousness,"Ventricular Dysfunction, Left",0.003567604
hiccup,Heart Failure,0.003570216
sepsis,Heart Failure,0.003570216
rectal hemorrhage,Heart Failure,0.003570216
glaucoma,Rheumatic Diseases,0.003594804
tumor,Graft vs Host Disease,0.003594804
tumor,"Spondylitis, Ankylosing",0.003594804
coma,Fever,0.00360924
eczema,Hypercholesterolemia,0.00360924
cholelithiasis,Gastroesophageal Reflux,0.003612261
cholelithiasis,Parkinson Disease,0.003612261
SIADH,Attention Deficit Disorder with Hyperactivity,0.003612261
Stevens - Johnson syndrome,Bacteroides Infections,0.00361474
Stevens - Johnson syndrome,Bipolar Disorder,0.00361474
Stevens - Johnson syndrome,"Bone Diseases, Infectious",0.00361474
bradycardia,Atrial Flutter,0.00361474
anaphylaxis,"Arthritis, Rheumatoid",0.003628383
amnesia,Autistic Disorder,0.003631219
amnesia,Cytomegalovirus Retinitis,0.003631219
amnesia,Tobacco Use Disorder,0.003631219
atrial fibrillation,Autistic Disorder,0.003631219
dysarthria,Hypertension,0.003633804
swelling,Bipolar Disorder,0.003633961
urticaria,"Rhinitis, Allergic, Perennial",0.003637555
SGOT increased,Prostatic Neoplasms,0.003642061
tachycardia,Staphylococcal Infections,0.003646217
tachycardia,Streptococcal Infections,0.003646217
constipation,"Candidiasis, Cutaneous",0.003654383
elevated liver enzymes,Atrial Flutter,0.003656972
aplastic anemia,Dysmenorrhea,0.003660436
aplastic anemia,Obsessive-Compulsive Disorder,0.003660436
abscess,Alzheimer Disease,0.0036613
hepatic necrosis,Cystitis,0.0036613
renal insufficiency,Stomach Neoplasms,0.0036613
agranulocytosis,"Bites, Human",0.0036626
agranulocytosis,"Meningitis, Bacterial",0.0036626
agranulocytosis,Peritonitis,0.0036626
agranulocytosis,Sepsis,0.0036626
phlebitis,"Pneumonia, Bacterial",0.003662656
hepatitis,Hypercholesterolemia,0.003662786
ascites,Testicular Neoplasms,0.003671793
enteritis,Panic Disorder,0.003671793
otitis externa,"Epilepsies, Partial",0.003671793
leukocytoclastic vasculitis,Sinusitis,0.003671793
hypoglycemia,Cystitis,0.003672561
